IP,Source,Country,State,Region,City,unknown_1,Latitude,Longitude,unknown_2,unknown_3
0.0.0.0/0, GeoIP City Edition, Rev 1: can't resolve hostname ( 0.0.0.0/0 )
162.142.125.38, GeoIP City Edition, Rev 1: US, IN, Indiana, South Bend, 46601, 41.672699, -86.251297, 588, 574
167.248.133.56, GeoIP City Edition, Rev 1: US, WA, Washington, Bellevue, 98004, 47.615398, -122.210297, 819, 425
192.241.211.144, GeoIP City Edition, Rev 1: US, CA, California, San Francisco, 94124, 37.735298, -122.373199, 807, 415
192.241.222.191, GeoIP City Edition, Rev 1: US, CA, California, San Francisco, 94124, 37.735298, -122.373199, 807, 415
192.241.223.96, GeoIP City Edition, Rev 1: US, CA, California, San Francisco, 94124, 37.735298, -122.373199, 807, 415
74.120.14.56, GeoIP City Edition, Rev 1: US, WA, Washington, Seattle, 98102, 47.635502, -122.323502, 819, 206
101.32.72.24, GeoIP City Edition, Rev 1: CN, 22, Beijing, Beijing, N/A, 39.928902, 116.388298, 0, 0
103.105.67.146, GeoIP City Edition, Rev 1: ID, 30, Jawa Barat, Bandung, N/A, -6.903900, 107.618599, 0, 0
103.117.19.251, GeoIP City Edition, Rev 1: IP Address not found
104.236.244.98, GeoIP City Edition, Rev 1: US, NJ, New Jersey, Clifton, 07014, 40.832600, -74.130699, 501, 973
106.12.219.184, GeoIP City Edition, Rev 1: CN, 22, Beijing, Beijing, N/A, 39.928902, 116.388298, 0, 0
106.13.32.45, GeoIP City Edition, Rev 1: CN, 22, Beijing, Beijing, N/A, 39.928902, 116.388298, 0, 0
106.54.78.143, GeoIP City Edition, Rev 1: CN, 22, Beijing, Beijing, N/A, 39.928902, 116.388298, 0, 0
112.85.42.81, GeoIP City Edition, Rev 1: CN, 04, Jiangsu, Wuhan, N/A, 32.224499, 120.232697, 0, 0
118.174.211.220, GeoIP City Edition, Rev 1: TH, 38, Nonthaburi, Nonthaburi, 10250, 13.862200, 100.513397, 0, 0
118.174.22.102, GeoIP City Edition, Rev 1: TH, N/A, N/A, N/A, N/A, 13.750000, 100.466698, 0, 0
120.53.251.82, GeoIP City Edition, Rev 1: CN, 25, Shandong, Jinan, N/A, 36.668301, 116.997200, 0, 0
121.4.35.86, GeoIP City Edition, Rev 1: CN, 22, Beijing, Beijing, N/A, 39.928902, 116.388298, 0, 0
122.176.87.177, GeoIP City Edition, Rev 1: IN, 10, Haryana, Gurgaon, 122001, 28.466700, 77.033302, 0, 0
122.194.229.37, GeoIP City Edition, Rev 1: CN, 23, Shanghai, Shanghai, N/A, 31.045601, 121.399696, 0, 0
122.51.168.254, GeoIP City Edition, Rev 1: CN, 30, Guangdong, Guangzhou, N/A, 23.116699, 113.250000, 0, 0
124.152.158.35, GeoIP City Edition, Rev 1: CN, 15, Gansu, Lanzhou, N/A, 36.056400, 103.792198, 0, 0
138.68.47.119, GeoIP City Edition, Rev 1: US, CA, California, Santa Clara, 95051, 37.350101, -121.985397, 807, 408
141.98.80.89, GeoIP City Edition, Rev 1: IP Address not found
141.98.80.91, GeoIP City Edition, Rev 1: IP Address not found
141.98.80.92, GeoIP City Edition, Rev 1: IP Address not found
51.91.255.147, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
150.109.39.213, GeoIP City Edition, Rev 1: CN, 22, Beijing, Beijing, N/A, 39.928902, 116.388298, 0, 0
150.158.168.92, GeoIP City Edition, Rev 1: BE, 09, West-Vlaanderen, Kortrijk, 8500, 50.827999, 3.264900, 0, 0
